id,famille origine,id-base,planet,people,prosperity,recommandation,criteres,justifications,etape cycle de vie,test 1.1.1,test 1.1.2,test 1.1.3,correspondance,lien,type,difficulté de mise en oeuvre,objectif odd couverts par la recommandation,incontournables,tags opérationnel,acteurs,indicateurs,x indicateurs,y indicateurs,priorité,récurrence,use case,exemple,limites,automatisable,automatisation,automatisation level,automatisation informations
28,FRONTEND,FRT-3.02,B,C,B,Utiliser les environnements et outils qui permettent de limiter les impacts,Est-ce que les fonctionnalités couvertes par des actions locales (côté client) sont privilégiées plutôt que des échanges API ?,"Les charges introduites par la sollicitation de ressources distantes via des mécanismes API peuvent être importantes. Certaines fonctionnalités pourraient être couvertes par des actions locales plutôt que distantes ce qui réduit la volumétrie des échanges et le nombre de composants mis en oeuvre, donc réduit l'impact environnemental. En revanche, il ne faut pas que le traitement en local d'une fonctionnalité qui peut nécessiter de nouvelles dépendances techniques, alourdisse la charge sur le front end.",Réalisation,L'utilisation d'API externes est-elle limitée (si possible) ?,,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #USE ; #METH,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Fonctionnalités analysées,Fonctionnalités elligibles,High,OnUpdate,"Les tests de navigation / parcours utilisateur couvrent les accès API, les outils de développement des navigateurs permettent de suivre les volumes de données (ex:  CHROME - network)",,,,,,
29,FRONTEND,FRT-4.01,A,B,B,Réduire les effets d'obsolescence,La plage de rétro-compatibilité est-elle définie ?,"Les équipements utilisateurs sont de plus en plus performants. Lorsque les services numériques exploitent toutes les capacités des équipements, cela écarte certains publics qui ne disposent pas des même outils performants. Cela empêche aussi d'aborder la fourniture des fonctionnalités avec des moyens moins gourmands en ressources mais procurant le même résultat.",Réalisation,La liste des équipements est-elle mise à jour ?,,,,,RECO,*,,INCONTOURNABLE,"#PERF ; #VOL ; #SEC ; #USE ; #VALUE ; #METH ; #OBSO
",Dev ; ProjectMngr ; ProductOwner ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Periodic,Chaque élément référencé dans le Dossier Technique porte une information de degrés de compatibilité,,,,,,
30,FRONTEND,FRT-5.01,A,A,A,Implémenter et développer les fonctionnalités pour limiter les impacts,Les fonctionnalités du service ne vont-elles pas au-delà des besoins utilisateurs ?,"Le nombre de fonctionnalités disponibles dans un service numérique impactent directement la consommation de ressources et l'impact environnemental. En créant des fonctionnalités de peu d'utilité ce sont des sources de création de dettes environnementales totalement inutiles. Les fonctionnalités augmentent aussi le volume du service, qui introduisent des délais de chargements et des espaces de stockage supplémentaires.",Conception,Chaque fonctionnalité est-elle retirée si elle n'est pas en relation avec un usage défini ?,,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ; #VALUE ; #METH,Dev ; ProjectMngr ; ProductOwner ; ITMngr ;,(X / Y ) * 100,Fonctionnalités utilisées,Fonctionnalités déployées,High,OnUpdate,Des données sont identifiées et collectées (analytics / sondes) en production pour identifier les usages et les fonctionnalités superflues.  ,,,,,,
31,FRONTEND,FRT-9.06,A,A,B,Implémenter des solutions techniques dont l'impact est le plus faible,Une version épurée est-elle disponible pour les impressions ?,"Les flux de dématérialisation sont parfois rompus, et imposent la production d'écrits sur papiers. L'utilisateur dans certains cas peut aussi être plus confortable à utiliser des documents imprimés plutôt que 100% électroniques. Les impressions ont un impact environnemental important, que ce soit dans la consommation de papier, de consommables tels que les cartouches et encres d'impression. Les besoins de présentation en électronique ou en impression sont différents, d'autre part la limitation de l'empreinte environnementale doit conduire à réduire la densité et le volume d'informations imprimées.",Utilisation,Le format d'impression est-il spécifié pour réduire l'espace et l'encre utilisé ?,,,Opquast 30/GreenIT 27 / Pidila 346 - 347,,RECO,*,,INCONTOURNABLE,#VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Les tests de navigation / parcours utilisateur couvrent les impressions et l'analyse des documents imprimés,,,Y,#SCRIPT,**,Outils parser code
32,FRONTEND,FRT-10.01,A,B,A,Rechercher la mise en oeuvre de comportements sobres,"Les objets de cartographie, animations, vidéos sont-ils présentés dans un mode statique ?","Les objets de cartographie n'ont pas toujours une pertinence à être présentés sous forme d'objets dynamiques et interactifs. La version statique sous forme d'image des plans peut apporter à l'utilisateur suffisamment d'information sans qu'il n'ait besoin d'interagir avec l'objet. Les objets de cartographie sont complexes et nécessitent des ressources de traitements et l'utilisation de capteurs, ce que les versions images des plans évite. L'utilisateur conserve la possibilité d'interaction en activant la version dynamique mais uniquement à sa demande.",Réalisation,"Une image statique est-elle affichée plutôt qu'un objet de cartographie, animation, vidéo ?","Les éléments de cartographie, animation, vidéo sont-ils proposés sous forme d'image et ouverts uniquement sur demande de l'utilisateur ?",,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #USE ; #VALUE; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Objets analysés,Objets dynamiques,High,OnUpdate,L'analyse des codes sources et les tests de navigation couvrent la recherche des éléments dynamiques.,,,,,,
33,BACKEND,BCK-1.01,A,C,A,Réduire l'impact des données de leur stockage et accès,"Est-ce que le nombre de requêtes est minimisé (proscrire l'usage de boucle) ?
","Chaque échange va consommer des ressources sur l'émetteur et le destinataire, consommer des flux d'échange et des données. Il est nécessaire de réduire ces échanges",Réalisation,Combien de requêtes sont utilisées pour un parcours utilisateur ?,,,Opquast 71/GreenIT 72,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,L'analyse des codes sources couvrent les éléments de performance.,,,Y,#SCRIPT,**,Outils parser code
34,BACKEND,BCK-2.07,B,B,B,"Utiliser les composants techniques qui améliorent les aspects NR, sécurité et performance",Les fonctionnalités sont-elles documentées pour permettre leur réutilisation ?,"D'une part dans une organisation les projets présentent beaucoup de similitudes, d'autre part les aspects NR adressés dans les projets sont souvent du même ordre. Afin de capitaliser sur ces éléments et bénéficier des efforts produits, il est nécessaire de s'appuyer sur un socle de connaissances stables. Toutefois la maturité d'une organisation d'un point de vue NR est amenée à progresser, il faut donc que les étapes documentées puissent aussi suivre ces évolutions et participer activement à cet accroissement de maturité. ",Revalorisation,Quelles informations de conception sont consignées pour être réutilisées dans les autres projets ?,,,,,RECO,*,,INCONTOURNABLE,#MAINT ; #COM ; #VALUE ; #DEBT ; #METH ; #FIN ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,La documentation technique intègre des éléments NR,,,,,,
35,BACKEND,BCK-3.01,A,B,A,Limiter la volumétrie des échanges ,Est-ce que les données échangées sont compressées / minifiées avant transmission ?,"Les échanges indispensables doivent permettre de réduire la volumétrie des transferts. La minification des échanges, la compression des données échangées permettent de réduire ces volumes. Toutefois les opérations de compression et décompression nécessitent des exécutions de traitements qui peuvent annuler le bénéfice de la compression des échanges.",Déploiement,Quel gain est obtenu par compression ?,Les données de production sont-elles systématiquement minifiées ?,,Pidila 437,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Volume compressé,Volume de transfert,High,OnUpdate,Les outils/consoles de développement et les extensions des navigateurs permettent de vérifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques),,,Y,#PROCESS,**,Outils supervision
36,BACKEND,BCK-6.01,A,B,A,Mettre en place une méthodologie qui favorise la prise en compte des aspects NR,Est-ce que la fonctionnalité envisagée est utile ?,"La sélection des fonctionnalités jugées indispensables peuvent être remises en cause dans leur forme initiale par rapport à leur impact NR. Dans ce cas, les coûts / bénéfices devront prendre en compte ces oppositions et faire l'objet d'adaptation pour faire converger les 2 approches : nécessité fonctionnelle et impact NR.",Conception,Chaque fonctionnalité est-elle associée à un usage identifié ?,,,Opquast 1 / GreenIT 1,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ; #VALUE ; #METH,Dev ; ProjectMngr ; ProductOwner ;,(X / Y ) * 100,Fonctionnalités utilisées,Fonctionnalités déployées,High,Periodic,Des données sont identifiées et collectées (analytics / sondes) en production pour identifier les usages et les fonctionnalités superflues.  ,,,,,,
37,HEBERGEMENT,HEB-1.02,A,C,C,Réduire l'impact de l'hébergement,Les déchets issus du datacenter sont-ils valorisés ou recyclés ?,"Le traitement des déchets générés par un datacenter est complexe, il est donc nécessaire de l'adresser et de se préoccuper de sa bonne gestion en termes de recyclage et de respect de l'environnement.",Utilisation,Avez-vous les moyens de vérifier la filière de traitement des déchets ?,,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #BUY,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,Periodic,Le dossier technique de l'hébergement trace la revalorisation des déchets,,,,,,
38,HEBERGEMENT,HEB-1.06,A,C,C,Réduire l'impact de l'hébergement,Est-ce que le PUE (Power Usage Effectivness) est disponible ?,La puissance totale consommée par le datacenter en comparaison de la puissance consommée par les serveurs donnent l'efficacité globale de toute l'infrastructure.,Administration,"Le PUE est-il inférieur ou égal à 1,2 ?",Le datacenter suit-il le European code of conduct for data centres ?,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #BUY,ProjectMngr ; ITMngr ;,(X / Y ) * 100,"PUE <= 1,2 = 100 ; PUE 1,2-1,4 = 75; PUE 14-1,6 = 50 ; PUE 1,6-1,8 = 25 ; PUE > 1,8 = 0",100,High,Periodic,Le dossier technique de l'hébergement trace l'éfficacité énergétique et les PUE des sites.,,,,,,
39,HEBERGEMENT,HEB-3.02,A,C,B,Adapter l'utilisation des équipements techniques aux besoins,La taille du parc physique est-il en adéquation avec le volume de machines virtuelles à exécuter ?,"Les techniques de virtualisation permettent de mutualiser les ressources physiques d'un serveur et d'un espace de stockage. Cette abstraction peut optimiser l'emploi du matériel, mais peut aussi conduire à sous-utiliser les équipements physiques et déployer de nouveaux équipements avant que le besoin ne soit réellement présent. L'impact environnemental total d'un serveur et de son utilisation est important.",Déploiement,L'allocation des ressources physiques par rapport aux machines virtuelles est-elle suivie ?,"Les ratios vCPU:pCPU sont-ils > 1:1 ?
",,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #USE ; #VALUE ; #FIN,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Taux utisation VM > 60 = 100 ; 60-40 = 50 ; < 40 = 0,100,High,Periodic,Le dossier technique d'hébergement permet de suivre la gestion de configuration et l'adaptation aux besoins,,,,,,
40,HEBERGEMENT,HEB-4.02,B,B,B,Suivre les impacts de l'hébergeur,Les serveurs et les équipements techniques sont-ils certifiés ?,"Les normes, labels et certifications environnementales se généralisent. Les serveurs, les espaces de stockage, les équipements réseaux affichent de plus en plus fréquemment des adhésions à certaines de ces normes de fait ou standardisées. L'émergence de nouveaux marqueurs doit être surveillée pour permettre la meilleure solution.",Acquisition,"Les serveurs ont-ils une certification (ASHRAE, TCO8, ...) ?",,,18 - Le matériel informatique choisi fait l'objet d'une certification via un éco-label.,,RECO,*,,INCONTOURNABLE,#COM ; #VALUE ; #BUY ;,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Oui = 100 ; Partiel = 50 ; Non = 0,100,High,Periodic,Le dossier technique de l'hébergement trace l'éfficacité énergétique et les certifications des équipements,,,,,,
41,HEBERGEMENT,HEB-4.06,B,B,B,Suivre les impacts de l'hébergeur,Le fournisseur expose-t-il tous ses indicateurs ?,"Le niveau de maturité NR des opérateurs de datacenter est très variable, lorsque les indicateurs de performances NR sont exposés cela démontre une maturité avancée. La communication d'indicateurs ne présume pas de la pertinence et de la fiabilité des indicateurs qui doivent aussi être exposés.",Administration,Quels indicateurs sont basés sur des données externes avec des sources fiables ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #VALUE ; #BUY ;,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Oui = 100 ; Partiel = 50 ; Non = 0,100,High,Periodic,Le dossier technique de l'hébergement trace l'ensemble des indicateurs mis à disposition,,,,,,
42,HEBERGEMENT,HEB-4.08,A,B,B,Suivre les impacts de l'hébergeur,Les équipements en fin de vie sont-ils revalorisés ( vente / don / recyclage ... ) ?,"Le renouvellement du parc technique est incontournable, les équipements en capacité de servir des usages moins intenses doivent être reconditionnés et ré-injectés dans d'autres secteurs d'activité. Les matériels qui ne peuvent être remis en service doivent entrer dans une filière de recyclage fiable et chaque étape doit être tracée pour garantir sa conformité avec les exigences NR.",Fin de Vie,La chaîne est-elle traçable ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #VALUE ; #BUY  ; #OBSO,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Oui = 100 ; Partiel = 50 ; Non = 0,100,Medium,Periodic,Le dossier technique de l'hébergement trace la filière de revalorisation,,,,,,
