,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-4.C01,A,B,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,La nécessité d'une fonctionnalité est-elle validée en rapport avec son impact NR ?,La sélection des fonctionnalités spécifiées jugées indispensables peut être remis en cause dans sa forme initiale par rapport aux impacts NR. Dans ce cas les coûts / bénéfices devront prendre en compte ces oppositions et faire l'objet d'une adaptation pour faire converger les 2 approches : nécessité fonctionnelle et impact NR.,Conception,L'arbitrage entre les gains NR et les coûts du projets sont-ils clairement identifiés ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-4.05,B,A,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Quelles alternatives sont proposées pour traiter une fonctionnalité non retenue ?,Des solutions alternatives peuvent être déployées sachant qu'elles ne sont pas les plus efficaces d'un point de vue NR mais apportent une première étape plus efficace par rapport à la solution n'incluant aucune considération NR. Ces pistes alternatives doivent être transitoires et faire l'objet de planification de revue afin d'augmenter graduellement leur conformité NR.,Acquisition,"Chaque fonctionnalité retirée a-t-elle une alternative disponible, si la fonctionnalité est utile ?",,,,,RECO,*,,,#VOL ; #SEC ; #USE ; #MAINT ; #DEBT ; #METH ; #FIN,Dev ; Designer ; ProjectMngr ; ProductOwner ; ITMngr,,,,Medium,OnUpdate,Analyse d'impact,,,,,,
SPECIFICATIONS,SPC-4.C02,C,A,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Les orientations du service ne sont-elles pas basées sur les effets d'addiction artificiels ?,"La sur-consommation des usages du service implique la création d'une dépendance de l'utilisateur vis à vis du service, et augmente artificiellement les charges d'utilisation du service, donc l'impact environnemental. Ces effets d'addiction sont dommageables pour le respect des principes NR.",Utilisation,La matrice d'évaluation de captologie est-elle appliquée ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-4.C03,B,A,A,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Les interfaces utilisateurs et techniques sont-elles conçues pour être efficaces du point de vue NR ? ,"Le lien entre l'utilisateur et le service peut générer des parcours complexes, longs, avec des volumes de saisie ou d'informations présentées très élevés. Si la gestion des interfaces est efficace pour l'utilisateur, elle sera le plus souvent aussi efficace du point de vue NR",Utilisation,Le coût NR des interfaces est-il évalué ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-4.06,C,A,A,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Les aspects réglementaires de l'accessibilité sont-ils pris en compte ?,"Le non-respect des réglementations est tout d'abord illégal et peut entraîner des pénalités importantes. Il coupe aussi des utilisateurs, même hors du cadre du handicap, de l'accès au service.",Utilisation,"Est-ce que la conformité au RGAA est garantie ?
",,,Loi 2005,,RECO,**,,,#USE ; #MAINT ; #METH ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Analyse de risques,,,,,,
SPECIFICATIONS,SPC-4.07,C,B,A,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Le service est-il conforme au RGPD ?,"Lors des spécifications, si de nouvelles collections de données sont prévues, elles doivent systématiquement faire l'objet d'une évaluation pour les données à caractère personnelle, être associé au registre de traitement et au PIA, en lien avec le DPO. Les aspects de confiance et respect des utilisateurs est l'une des dimensions du NR.",Utilisation,Les documents RGPD du projet sont-ils réalisés et validés par le DPO ?,,,,,RECO,**,,,#SEC ; #USE ; #MAINT ; #METH ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Documentation : Informations légales,,,,,,
SPECIFICATIONS,SPC-4.08,C,B,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,La sécurité est-elle adaptée à la valeur de mes données ?,"La sécurisation des données nécessite souvent des éléments redondants, des méthodes de sauvegardes et de duplications qui génèrent une empreinte environnementale supplémentaire. Certaines catégories de données justifient pleinement ces dispositions, mais pour d'autres l'extrême sécurisation n'a pas de sens, si ce n'est la facilité de traiter de la même manière toutes les informations. Le niveau de sécurisation, à partir du moment où il présente un surcoût environnemental, doit être en rapport avec la donnée.",Administration,Les règles de sécurité sont-elles associées à des audits réguliers ?,,,,,RECO,**,,,#SEC ; #USE ; #MAINT ; #METH ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Analyse de risques,,,,,,
SPECIFICATIONS,SPC-4.C04,B,B,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,Les solutions techniques retenues sont-elles pilotées par l'usage plutôt que par l'intérêt technique ?,Les fonctions techniques ont souvent besoin d'exprimer leurs compétences et leur suivi des avancées technologiques en choisissant les solutions les plus récentes et définies dans leur écosystème comme les plus avancées. Cela pousse à faire des choix d'implémentation guidés par l'attrait technologique plutôt que par l'efficacité notamment NR. Réorienter les pratiques techniques sur les défis NR est une bonne pratique pour conserver l'intérêt technique des professionnels et leur permettre de progresser avec des résultats concrets.,Acquisition,Toutes les technologies utilisées ont-elles une justification validée et partagée ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-4.09,B,A,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,L'évaluation de la valeur fonctionnelle de chaque interaction utilisateur est-elle réalisée ?,"Chaque fois que l'utilisateur interagit avec le service, un nombre important de mécanismes ""invisibles"" se déclenchent. Chacun de ces éléments, en s'exécutant, consomme des ressources. Pour réduire cette consommation, outre les principes d'optimisation des algorithmes, il est plus utile et souvent plus facile de limiter le nombre de ces interactions.",Réalisation,"Est-ce que la fonctionnalité est indispensable ?
",Une analyse MoSCoW a-t-elle été réalisée (Must/Should/Could/Would) ?,,,,RECO,*,,,#USE ; #VALUE ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Validations,Interactions User,High,OnUpdate,Definition of Done,,,,,,
SPECIFICATIONS,SPC-4.10,A,A,B,Construire le périmètre du projet et valider la pertinence de chaque fonctionnalité,L'impact de la couverture de la fonctionnalité peut-elle être réduite par la solution technique envisagée ?,"Certaines fonctionnalités sont nativement offertes par des composants techniques, mais ces composants ne se limitent que très rarement au seul périmètre recherché et fournissent beaucoup d'autres fonctionnalités qui peuvent ne pas être utiles. Le fait de pouvoir réduire un composant technique aux seuls apports réellement utiles est un bénéfice NR important. ",Acquisition,Les technologies alternatives ont-elles été testées ?,Est-ce que la solution technique envisagée pour couvrir la fonctionnalité peut être réduite ?,,,,RECO,*,,,#USE ; #MAINT ; #DEBT ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Analysée = 100 ; présumée = 50 ; Non = 0,Fonctionnalités,Medium,OnUpdate,L'analyse d'impact détermne les actions de réduction des impacts avec les acteurs concernés,,,,,,
SPECIFICATIONS,SPC-5,,,,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,,,,,,,,,,,ODD#12,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-5.01,B,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Avez-vous identifié des indicateurs de performance pour le suivi du cycle de vie ?,"Les indicateurs NR universels ne sont pas vraiment disponibles, cela peut pousser à passer énormément d'énergie et de ressources à définir les meilleurs indicateurs. Ce qui représente une surcharge dans le projet qui peut conduire à une remise en cause du traitement des impacts NR dans les projets. Il serait dommage que la crédibilité des bénéfices NR soient dégradés par la recherche de points de mesure. La fiabilité d'un indicateur est dicté par la fiabilité de la donnée qui permet de le calculer, il vaut mieux démarrer avec des indicateurs sans doute moins ambitieux mais justes et peu onéreux en terme de charge projet.",Administration,"Quels indicateurs sont mis en place, et comment les données sur lesquels ces indicateurs sont basés sont-elles fiabilisées ?",,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #COM ; #VALUE ;  #GOV ;  #FIN,ProjectMngr ; ProductOwner ; Manager ; RSE/NR ; HR ; ITMngr,,,,High,Periodic,Analyse de bénéfices,,,,,,
SPECIFICATIONS,SPC-5.02,B,C,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Dans le processus d'achat (Appel d'offre) des exigences d'engagement NR sont-elles demandées aux prestataires externes ?,"Un projet est rarement réalisé avec un périmètre couvert à 100% au sein de l'organisation, nombre de ressources externes sont mobilisées au cours du projet. Les spécifications permettent d'identifier ces ressources nécessaires et leur associer des exigences NR pour permettre de sélectionner les prestataires en fonctions des contraintes techniques, de solvabilité économique et de NR.",Acquisition,Les exigences NR des prestataires sont-elles définies ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #VALUE ; #GOV ; #BUY,Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Exigences NR dans AO,Appel d'offres,High,OnUpdate,Les procédures d'achat contiennent des éléments de sélection liées aux enjeux NR,,,,,,
SPECIFICATIONS,SPC-5.03,B,B,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,La gestion des impacts des mises à jour logicielles sur la mise en obsolescence des matériels est-elle évaluée ?,"Dans un développement itératif et tout au long de la vie du service des mises à jour seront appliquées. Chacune de ces adaptations doit permettre de continuer à utiliser les matériels actuels et ne pas ajouter de contraintes artificielles qui amèneraient à saturer les capacités de traitement des terminaux utilisateurs, ni introduire de mise à jour technique qui génèrerait une incompatibilité, nécessiterait / pousserait à un renouvellement des équipements.",Maintenance,Les impacts sur les composants matériels des mises à jour logicielles sont-ils tracés ?,"Est-ce que la mise à jour du logiciel entraîne une obsolescence de certains matériels pour l'utilisation du logiciel, au regard du cycle de vie du service estimé au lancement du projet ?",,,,RECO,*,,,#MAINT ; #VALUE ; #DEBT ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Etude obsolescence,Mises à jour,Low,OnUpdate,Analyse d'impact,,,,,,
SPECIFICATIONS,SPC-5.04,B,B,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Les équipements actuels des utilisateurs sont-ils évalués ?,Les spécifications doivent définir les gammes de terminaux que le service doit supporter afin que les utilisateurs avec des périphériques plus anciens puissent accéder au service dans les meilleures conditions. Les incompatibilités matérielles sont une source de souhaits / impératifs de renouvellement de terminaux avant que celui-ci ne soit réellement hors d'usage. Le NR participe à prolonger la durée de vie des équipements.,Utilisation,La plage des équipements utilisateurs valide est-elle disponible ?,"Les utilisateurs peuvent-ils accéder au produit avec leur équipement actuel ?
Des solutions de replis sont-elles décrites ?",,,,RECO,*,,,#USE ; #MAINT ; #VALUE ; #DEBT ; #OBSO,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Evaluations,Matériels identifiés,Medium,OnUpdate,Fiche de cadrage,,,,,,
SPECIFICATIONS,SPC-5.05,B,A,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Les revues de projet prennent-elles en compte les validations des exigences NR ?,"Le cadrage et la phase de spécification prévoient des livraisons intermédiaires, sous forme de POC, de MVP, de BETA. Chacune de ces livraisons intermédiaires est une occasion de revoir et valider la couverture des exigences NR",Revalorisation,Le processus d'arbitrage des conflits est-il partagé par tous les acteurs ?,Quelle est la fréquence de revue ?,,,,RECO,*,,,#VALUE ; #METH ;,ProjectMngr ; ProductOwner,(X / Y ) * 100,Composantes NR dans les revues,Revues de projets,High,OnUpdate,Definition of Done,,,,,,
SPECIFICATIONS,SPC-5.06,B,B,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,"Lors de chaque nouvelle mise en production, une revue du respect des enjeux NR est-elle effectuée ?","La mise en production ne doit pas être considérée comme l'étape ultime de la vie d'un projet dans le respect des principes NR. Cette opération de mise en production permet de statuer sur les engagements NR définis et remplis au cours du projet et de valider que ces éléments seront suivis pendant toute la phase active du service, et pris en compte lors du retrait du service en fin de vie.",Maintenance,Les anomalies de revues sont-elles consignées et réutilisées ?,,,,,RECO,*,,,#MAINT ; #VALUE ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Revue NR,Mise en production,High,OnUpdate,Definition of Done,,,,,,
SPECIFICATIONS,SPC-5.07,A,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,"Les données et procédures spécifiées ont-elles toutes une information de fin de vie ?
",Les spécifications font apparaître des collections de données des procédures asynchrones ou des tâches périodiques indispensables au bon fonctionnement du service. Ces éléments sont le plus souvent invisibles et en l'absence de spécifications explicites des processus de retrait ils sont rarement pris en compte dans les fins d'exploitation d'un service. Chacun de ces éléments doit porter sa propre information de fin de vie.,Fin de Vie,La catalogue des procédures et données est-il à jour ?,,,,,RECO,*,,INCONTOURNABLE,#VOL ; #VALUE ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,OnUpdate,Chaque élément référencé dans le Dossier Technique porte une information de fin de vie,,,Y,#INSTRUMENTATION,***,Tag EnD Of Life dans les US
SPECIFICATIONS,SPC-5.08,A,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Est-ce que le produit cible à une durée de vie déterminée ?,"Les services répondent à une opportunité et sont créés pour traiter cette demande. Dans un environnement technique et économique très mouvant et imprévisible, ils ont rarement une espérance de vie infinie. Il est utile d'un point de vue NR de décider en préalable du terme de l'exploitation du service pour éviter qu'il ne subsiste ad vitam aeternam alors que l'objet du service n'existe plus.",Fin de Vie,"Le produit a t'il une ""date d'expiration"" ?",,,GreenIT 85,,RECO,*,,,#VOL ; #VALUE ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,Once,La fiche de cadrage projet fait apparaitre explicitement la durée de vie estimée du service.,,,,,,
SPECIFICATIONS,SPC-5.C01,C,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,"Les charges, bénéfices, risques sont-ils suivis ?","La mise en production d'un service respectant les principes NR est un atout important pour une organisation. Pour l'ensemble des parties-prenantes, le bilan de la conduite du projet et du traitement des enjeux NR est un moyen supplémentaire de capitaliser sur les bénéfices de l'opération et d'évaluer sereinement les risques et charges pris en compte dans le projet afin de faciliter les prises en compte NR dans les futurs projets.",Administration,"Est-ce qu'une rétrospective est prévue pour évaluer les gains environnementaux ?
",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-5.C02,B,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Un plan de suivi des risques est-il déployé ? ,"Certains choix techniques sont orientés par l'angle NR, et des adaptations techniques sont réalisées pour plus de conformité NR. Cela peut introduire des risques supplémentaires (délais, difficultés, anomalies). Ces risques doivent être suivis et le plan de traitement des risques doit prendre en considération ces éléments associés aux choix NR.",Déploiement,Le plan de suivi des risques intègre-t-il le NR ?,Est-ce que les choix techniques faits pour le NR ont introduit des risques supplémentaires ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-5.C03,C,C,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Un gain de notoriété et de capitalisation est-il associé aux aspects NR du projet ?,"La conduite d'un projet NR a un retentissement au delà des sphères techniques et métiers du projet, pouvant permettre à l'organisation d'afficher une affinité forte avec les contraintes environnementales qui est valorisable dans les opérations de communications institutionnelles ou informelles. Ces éléments peuvent être chiffrés dans les budgets projet.",Utilisation,Les bénéfices non financiers sont-ils évalués ?,Les équipes bénéficient-elles d'une montée en compétence sur les sujets NR ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-5.09,B,C,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Les fonctions secondaires ont-elles aussi un impact moindre sur l'impact environnemental ?,"80% des usages sont traités par 20% des fonctionnalités. Sans être une règle immuable, c'est très souvent le cas. Il ne faut pas tomber dans le travers ou les 20% d'usages marginaux consomment 80% des impacts environnementaux du projet.",Conception,Les impacts environnementaux de chaque fonctionnalité sont-ils évalués par rapport à la nature et l'importance de la fonctionnalité ?,,,,,RECO,**,,,#USE ; #MAINT ; #VALUE ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,OnUpdate,CHROME : Console dev/Network,,,,,,
SPECIFICATIONS,SPC-6,,,,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,,,,,,,,,,,ODD#9 ; ODD#12 ; ODD#13,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-6.01,B,C,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,Les fournisseurs de solutions et prestataires de service sont-ils sélectionnés sur leur capacité à respecter un cahier des charges NR ?,"Les spécifications mettent en évidence des besoins de prestations externalisées ou des relations avec des fournisseurs de services. Dans les règles de sélection des fournisseurs de services ou de produits externes, les aspects NR doivent être pris en compte de la même manière que si le service ou produit était pris en charge en interne. Le cahier des charges doit exposer en plus des considérations techniques, budgétaires et de respect des normes de sécurité les principes NR que le fournisseur doit remplir.",Acquisition,Les indicateurs NR des fournisseurs sont-ils pris en compte lors de la sélection des prestataires ?,,,,,RECO,**,,,#COM ; #VALUE ; #GOV ; #BUY,ProjectMngr ; ProductOwner ; Manager ; ITMngr,(X / Y ) * 100,Composantes NR,Achats externes,High,Periodic,Procédures d'achat,,,,,,
SPECIFICATIONS,SPC-6.C01,B,B,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"Les aspects déplacements physiques sont-ils évalués lors de la sélection de prestataires, des solutions techniques et de l'organisation des acteurs internes intervenant sur le projet ?","L'impact environnemental des déplacements physiques est très visible et facilement estimable. Lors des interactions avec des partenaires, la distance, le nombre des déplacements doit être évalué et restreint. La définition d'un budget déplacement pour l'ensemble du projet peut apporter plus de contrôle sur cet aspect et promouvoir chaque fois que cela est possible des points distanciels plutôt que présentiels.",Acquisition,Quel budget de déplacement physique est alloué au projet ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-6.C02,C,A,A,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,Les intervenants des prestataires disposent-ils tous des mêmes bénéfices sociaux et conditions de travail ?,Dans les dimensions NR les aspects humains et économiques occupent une place importante. S'assurer que tous les intervenants y compris chez les prestataires (et ses propres sous-traitants et fournisseurs) utilisés pour le projet disposent des mêmes cadres socio-économiques est nécessaire pour que la cohérence des efforts NR ne soit pas anéantie par un choix qui aurait pu être évité.,Acquisition,Le prestataire utilise-t-il des ressources humaines hors du territoire national ou avec des contrats spécifiques ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-6.02,A,C,A,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,Est-ce que les postes de travail font l'objet d'une gestion de cycle de vie ?,"Chacun des acteurs internes va mobiliser des équipements techniques pour gérer et développer le projet. Les postes de travail de l'ensemble de l'équipe sont un point relativement simple à adresser du point de vue NR. Avec le suivi du cycle de vie des équipements, l'utilisation de matériels avec labels environnementaux, le pilotage des alimentations électriques du poste de travail en fonction de la présence / absence au poste.",Utilisation,Les postes de travail de développement et d'intégration/tests sont-ils choisis et suivis vis-à-vis de leurs impacts environnementaux ?,,,,,RECO,**,,,"#PERF ; #VOL ; #SEC ; #USE ; #MAINT ;  #DEBT ; #GOV ; #BUY ; #FIN ; #OBSO
",Manager ; RSE/NR ;ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,Periodic,Une gestion de configuration couvre l'ensemble des équipements des postes de travail avec consolidation des indicateurs de cycle de vie,,,,,,
SPECIFICATIONS,SPC-6.03,B,B,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"Un espace commun a-t-il été mis à disposition du projet pour le partage des ressources ? (ex : limiter les PJ mail, duplication de documents...)","Lors du suivi projet beaucoup de documents sont produits, revues, validés. La duplication de documents, les transferts vers des destinataires multiples est une source de consommation excessive de ressources. Le plus souvent l'utilisation d'un espace partagé avec la mise en place de règles d'accès permet d'éviter ces impacts environnementaux.",Utilisation,Les documents de travail n'existe-t-il qu'en un seul exemplaire partagé par tous les intéressés ?,,,,,RECO,*,,,#VOL ; #SEC ; #COM ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Systématique = 100 ; Conseillé = 50 : Non = 0,100,High,Once,Dossier technique,,,,,,
SPECIFICATIONS,SPC-6.04,B,B,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"Est-ce que les ressources/composants disponibles pour le projet ont une information concernant la conformité NR ?
","Les développements modulaires sont mis en place dans les projets pour faciliter la réutilisation et permettre d'assembler des composants validés ce qui se traduit par des gains d'efficacité et de fiabilité. Cette pratique est basée sur les descriptions des interfaces (entrées-sorties) de ces composants, de leurs cadres d'utilisation et de leurs dépendances. En plus de ces éléments techniques les aspects et bénéfices NR implémentés dans le composant sont utiles pour capitaliser en plus des aspects techniques sur les aspects NR.",Revalorisation,Chaque composant développé dispose-t-il d'une note d'impact NR ?,,,,,RECO,*,,,#USE ; #MAINT ; #VALUE ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Information NR,Composants projet,High,OnUpdate,Dossier technique,,,,,,
SPECIFICATIONS,SPC-6.05,B,C,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"Dans les ressources techniques du projet est-ce que les gestions de dépendances sont prises en compte, pour limiter l'obésité des solutions techniques employées?",La majorité des projets est une suite d'intégration de composants avec des développements d'interfaces spécifiques entre ces composants. Bien souvent les composants issus de bibliothèques publiques (open source ou commerciales) apportent un ensemble de fonctionnalités qui ne sont que rarement toutes utilisées et drainent des dépendances vis-à-vis d'autres composants avec les mêmes caractéristiques. Au final le projet agrège un volume de bibliothèque important alors qu'une petite partie est réellement utilisée. Privilégier les composants dont les dépendances et fonctionnalités sont pilotables par rapport aux besoins est efficace du point de vue NR.,Réalisation,Un outil de suivi des dépendances de composants est-il employé ?,,,,,RECO,**,,,#VOL ; #USE ; #MAINT ; #VALUE ; #DEBT ; #METH  ; #OBSO,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Analyses de dépendances,Solutions techniques,High,OnUpdate,CHROME : Console dev / COVERAGE,,,Y,#SCRIPT,*,Outils contrôle de dépendances
SPECIFICATIONS,SPC-6.C03,C,C,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"Dans les choix de conceptions (fonctionnelles et techniques), est-ce que la création, la mise à jour ou la fin de vie d'un domaine du service numérique a un impact réduit sur les autres domaines du service numérique?","Les spécifications du projet peuvent s'appuyer sur des éléments déjà employés pour d'autres services. Ces dépendances entre services sont efficaces d'un point de vue gestion du projet mais peuvent être pénalisantes lorsqu'elles imposent le maintien de composants partagés moins efficaces d'un point de vue NR, surtout lorsque les services utilisant ces ressources sont destinés à être arrêtés à des périodes différentes.",Revalorisation,La publication des interfaces entre les composants est-elle systématique ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-6.C04,C,A,B,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,"L'implémentation de nouveaux services sous contraintes réglementaires (santé, bancaire, ...) sont-ils nécessaires et le cas échéant s'appuient-ils sur un socle de service disponible ?",La pratique des professionnels utilisant des données réglementées est guidé par la sécurité des données et par la réduction de l'impact d'utilisation du service pour rester centré sur l'enjeu principal. Les spécifications doivent prendre en compte ces éléments et réutiliser le maximum d'éléments habituels de ces types de services consolidés sous forme d'un socle de service. ,Conception,"Combien de données réglementées (santé, bancaire, ...) sont nécessaires ?","Le socle de service est-il évalué par rapport à sa conformité réglementaire (certification) et utilisabilité (accessibilité, sécurité) ?",,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
SPECIFICATIONS,SPC-6.06,B,B,A,Déterminer l'environnement de production dans lequel le projet sera construit et déployé en accord avec les principes NR,Quels sont les KPIs définis ?,"Les métiers et le management ont l'habitude de piloter l'activité avec une gamme d'indicateurs business. Le suivi de la performance NR va aussi nécessiter des indicateurs dédiés pour suivre les impacts. Pour la détermination des indicateurs, des plages de valeurs de performance doivent être définis de manière itérative et suivre l'augmentation de maturité de l'organisation dans l'appréhension de ces données afin que les processus de décisions puissent se mettre en place pour effectuer un pilotage des aspects NR.",Administration,Les plages de valeurs des KPIs sont-elles définies ?,,,,,RECO,***,,,#COM ; #VALUE ; #GOV ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr,(X / Y ) * 100,KPIs NR,KPI,High,Periodic,Analyse de bénéfices,,,,,,
UX/UI,UX/UI-1,,,,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,,,,,,,,,,,ODD#5 ; ODD#8 ; ODD#9 ; ODD#10 ; ODD#12 ; ODD#13 ,,,,,,,,,,,,,,,
UX/UI,UX/UI-1.01,B,A,B,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,"Dans les méthodes d'idéation, l'ensemble des parties prenantes est-il pris en compte dans toute sa dimension (humaine) ?","Mettre l'Utilisateur au centre de la réflexion est la garantie de couvrir les besoins essentiels de vos cibles et d'avancer dans le bon sens. Par Utilisateurs, nous entendons les usagers finaux du service ou du produit mais également les différentes parties prenantes du projet. Considérer vos utilisateurs avec une dimension humaine et empathique permet d'élargir le prisme de votre réflexion et d'aller au-delà des aspects économiques et technologiques du projet.",Conception,"Une cartographie des parties prenantes a-t-elle été réalisée ? 

Une priorisation des parties prenantes est-elle faite ?  

","Les différentes parties prenantes sont-elles intégrées dans les différents outils : expérience et service Map, cartes UX, shadowing, workshops, etc. ) ?

Une approche Human-Centered Design est-elle utilisée ? ",L'approche User centric est-elle présente ? ,"SL : Stakeholders map template


SL : Human-Centered Design ","SL : https://diytoolkit.org/media/People-and-Connections-map-Size-A4.pdf


SL : https://www.designkit.org/methods

https://www.ideo.com/post/design-kit",RECO,***,,INCONTOURNABLE,#COM ;  #METH ;,Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Le panel de profils d'utilisateurs couvre l'ensemble des aspects humains que le NR doit adresser pour éviter la fracture numérique,,,,,,
UX/UI,UX/UI-1.02,A,B,B,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,La planète est-elle prise en compte dans les méthodes d'idéation pour intégrer la dimension écologique (planet centric design) ?,"Chaque décision de conception a un impact. Si les problématiques environnementales et écologiques ne sont pas au coeur de l'analyse, aucun objectif de maîtrise ou de réduction des impacts ne sera pris en compte et donc respecté.",Conception,Le toolkit planet centric est-il connu et utilisé ?,,, Planet Centric toolkit, https://planetcentricdesign.com/,RECO,***,,INCONTOURNABLE,#COM ;  #METH ;,Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Une démarche systémique / Planet Centric est mise en place. ,,,,,,
